
Invoices Entry :9:26:43 AM Tuesday, July 20, 2021
=====================================================================Invoices=====================================================================================
InvoiceNo  20217944929  | DocDate   7/9/2021 12:41:37 PM  | Currency Code  ZWL  | Customer Number   PR7441524099   |Reference    41102  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217944920  | DocDate   7/9/2021 11:00:52 AM  | Currency Code  ZWL  | Customer Number   PR8037526981   |Reference    41091  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC006
InvoiceNo  20217944912  | DocDate   7/9/2021 10:54:25 AM  | Currency Code  ZWL  | Customer Number   PR5287127233   |Reference    41083  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP004
InvoiceNo  20217944910  | DocDate   7/9/2021 11:21:45 AM  | Currency Code  ZWL  | Customer Number   PR999113251   |Reference    41081  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217944905  | DocDate   7/9/2021 9:50:06 AM  | Currency Code  ZWL  | Customer Number   PR16144827029   |Reference    41076  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB005
InvoiceNo  20217944904  | DocDate   7/9/2021 11:00:00 AM  | Currency Code  ZWL  | Customer Number   PR88921825857   |Reference    41075  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GE001
InvoiceNo  20217944902  | DocDate   7/9/2021 11:00:39 AM  | Currency Code  ZWL  | Customer Number   PR38928812348   |Reference    41073  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GH001
InvoiceNo  20217944900  | DocDate   7/9/2021 8:28:01 AM  | Currency Code  ZWL  | Customer Number   PR4081703465   |Reference    41069  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GN005
InvoiceNo  20217944898  | DocDate   7/9/2021 8:21:55 AM  | Currency Code  ZWL  | Customer Number   PR44044127148   |Reference    41067  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217944897  | DocDate   7/9/2021 9:45:02 AM  | Currency Code  ZWL  | Customer Number   PR3027214510   |Reference    41066  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SM001
InvoiceNo  20217944895  | DocDate   7/9/2021 7:56:55 AM  | Currency Code  ZWL  | Customer Number   PR1207678142   |Reference    41064  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC006
InvoiceNo  20217944890  | DocDate   7/9/2021 12:05:20 PM  | Currency Code  ZWL  | Customer Number   PR967949997   |Reference    41059  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP006
InvoiceNo  20217944889  | DocDate   7/9/2021 10:14:52 AM  | Currency Code  ZWL  | Customer Number   PR33873015003   |Reference    41058  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GE001
InvoiceNo  20217944886  | DocDate   7/9/2021 5:56:09 AM  | Currency Code  ZWL  | Customer Number   PR82476824979   |Reference    41054  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP004B
InvoiceNo  20217944884  | DocDate   7/9/2021 5:05:15 AM  | Currency Code  ZWL  | Customer Number   PR75880025374   |Reference    41052  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC007
InvoiceNo  20217844882  | DocDate   7/8/2021 10:22:33 PM  | Currency Code  ZWL  | Customer Number   PR24582127218   |Reference    41050  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SA001
InvoiceNo  20217844878  | DocDate   7/9/2021 7:51:55 AM  | Currency Code  ZWL  | Customer Number   PR53035817235   |Reference    41045  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC006
InvoiceNo  20217844876  | DocDate   7/9/2021 5:59:11 AM  | Currency Code  ZWL  | Customer Number   PR6062027064   |Reference    41042  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB003
InvoiceNo  20217844875  | DocDate   7/9/2021 7:52:51 AM  | Currency Code  ZWL  | Customer Number   PR71191727217   |Reference    41041  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GF004
InvoiceNo  20217844873  | DocDate   7/9/2021 11:05:34 AM  | Currency Code  ZWL  | Customer Number   PR43971727162   |Reference    41039  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GB003
InvoiceNo  20217844872  | DocDate   7/9/2021 7:01:48 AM  | Currency Code  ZWL  | Customer Number   PR16138312724   |Reference    41038  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP004B
InvoiceNo  20217844871  | DocDate   7/8/2021 5:16:10 PM  | Currency Code  ZWL  | Customer Number   PR423718151   |Reference    41037  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217844870  | DocDate   7/9/2021 6:32:25 AM  | Currency Code  ZWL  | Customer Number   PR8623913675   |Reference    41036  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SM001
